listing_id,price_egp,area_value,bedrooms,bathrooms,property_type,category,furnished,completion_status,payment_method,city,district,subdistrict,lat,lon,listing_level,images_count,price_per_sqm,total_rooms,location_popularity,investment_score,log_price,is_premium_listing,data_completeness
EGY100000,4801000.0,114.6,4,4,Apartment,For Sale,Unfurnished,Under Construction,Installments,Zamalek,Gezira,Gezira Zone 2,29.997273,31.246521,Standard,4,41893.54,8,0.047,2.7,15.384334995802995,0,1.0
EGY100001,4000.0,121.6,3,3,Apartment,For Rent,Semi-Furnished,Under Construction,Installments,North Coast,Hacienda Bay,Hacienda Bay Zone 1,31.016688,28.317012,Standard,21,32.89,6,0.047,4.86,8.294299608857235,0,1.0
EGY100002,12448000.0,355.6,3,2,Villa,For Sale,Furnished,Under Construction,Installments,Dokki,Batal Ahmed Square,Batal Ahmed Square Zone 1,30.009525,31.21185,Standard,22,35005.62,5,0.063,4.33,16.337070605734496,0,1.0
EGY100003,3000.0,155.3,2,2,Chalet,For Rent,Furnished,Under Construction,Installments,6th October,Juhayna,Juhayna Zone 1,29.946549,30.9903,Standard,22,19.32,4,0.1095,5.98,8.006700845440367,0,1.0
EGY100004,13000.0,300.2,6,5,Villa,For Rent,Unfurnished,Off Plan,Cash or Installments,New Cairo,5th Settlement,5th Settlement Zone 2,30.064858,31.446949,Standard,7,43.3,11,0.195,5.72,9.472781556562168,0,1.0
EGY100005,15872000.0,324.8,3,3,Villa,For Sale,Unfurnished,Under Construction,Installments,New Cairo,Mostakbal City,Mostakbal City Zone 1,30.067937,31.456105,Standard,3,48867.0,6,0.195,4.32,16.580067171510823,0,1.0
EGY100006,3286000.0,100.5,1,2,Apartment,For Sale,Furnished,Ready to Move,Installments,New Cairo,5th Settlement,5th Settlement Zone 1,30.06149,31.428584,Featured,4,32696.52,3,0.195,6.88,15.005181881900668,0,1.0
EGY100007,3000.0,53.8,2,3,Apartment,For Rent,Furnished,Off Plan,Cash or Installments,Alexandria,Smouha,Smouha Zone 1,31.187207,29.92269,Standard,8,55.76,5,0.086,4.77,8.006700845440367,0,1.0
EGY100008,3000.0,106.8,2,2,Apartment,For Rent,Furnished,Off Plan,Cash or Installments,6th October,Zizinia,Zizinia Zone 3,29.928269,30.92877,Standard,16,28.09,4,0.1095,5.32,8.006700845440367,0,1.0
EGY100009,1200000.0,45.5,0,1,Studio,For Sale,Furnished,Ready to Move,Cash or Installments,Dokki,Batal Ahmed Square,Batal Ahmed Square Zone 1,30.002238,31.179725,Standard,5,26373.63,1,0.063,4.29,13.997832948091215,0,1.0
EGY100010,12765000.0,295.5,3,3,Townhouse,For Sale,Unfurnished,Under Construction,Installments,New Cairo,Mostakbal City,Mostakbal City Zone 2,30.022832,31.458995,Standard,21,43197.97,6,0.195,5.12,16.362217686996928,0,1.0
EGY100011,4094000.0,158.8,1,1,Apartment,For Sale,,Under Construction,Cash or Installments,Ain Sokhna,Porto Sokhna,Porto Sokhna Zone 1,29.564629,32.38563,Featured,3,25780.86,2,0.043,3.79,15.225033289463235,0,0.88
